geoid,name,pop
9700000US2733840,"St. Paul Public School District, Minnesota",209348
9700000US2738190,"Stillwater Area Public School District, Minnesota",48909
9700000US2742160,"Wayzata Public School District, Minnesota",49412
9700000US2742360,"White Bear Lake School District, Minnesota",49383
9700000US2801320,"DeSoto County School District, Mississippi",135519
9700000US2801770,"Harrison County School District, Mississippi",71020
9700000US2802190,"Jackson Public School District, Mississippi",117782
9700000US2802790,"Madison County School District, Mississippi",64950
9700000US2803830,"Rankin County School District, Mississippi",96779
9700000US2901000,"Columbia 93 School District, Missouri",112015
9700000US2905310,"Blue Springs R-IV School District, Missouri",57178
9700000US2908370,"Fort Zumwalt R-II School District, Missouri",90705
9700000US2912010,"Ferguson-Florissant R-II School District, Missouri",52395
9700000US2912300,"Fox C-6 School District, Missouri",56200
9700000US2913830,"Hazelwood School District, Missouri",90649
9700000US2915480,"Independence 30 School District, Missouri",68321
9700000US2916190,"Jefferson City Public Schools, Missouri",58259
9700000US2916400,"Kansas City 33 School District, Missouri",157475
9700000US2918300,"Lee's Summit R-VII School District, Missouri",72040
9700000US2920670,"Mehlville R-IX School District, Missouri",71099
9700000US2922800,"North Kansas City 74 School District, Missouri",103632
9700000US2923550,"Park Hill School District, Missouri",54442
9700000US2923580,"Parkway C-2 School District, Missouri",103383
9700000US2926850,"Rockwood R-VI School District, Missouri",90758
9700000US2927060,"St. Joseph School District, Missouri",61075
9700000US2928860,"Springfield R-XII School District, Missouri",172672
9700000US2928950,"Francis Howell R-III School District, Missouri",90259
9700000US2929280,"St. Louis City School District, Missouri",232756
9700000US2931650,"Wentzville R-IV School District, Missouri",66015
9700000US3172840,"Lincoln Public Schools, Nebraska",216790
9700000US3173740,"Millard Public Schools, Nebraska",77305
9700000US3174820,"Omaha Public Schools, Nebraska",252468
9700000US3175270,"Papillion-La Vista Community Schools, Nebraska",47271
9700000US3200060,"Clark County School District, Nevada",1514146
9700000US3200480,"Washoe County School District, Nevada",337075
9700000US3304590,"Manchester School District, New Hampshire",85554
9700000US3304980,"Nashua School District, New Hampshire",67833
9700000US3401260,"Bayonne City School District, New Jersey",44372
9700000US3402220,"Brick Township School District, New Jersey",60402
9700000US3402640,"Camden City School District, New Jersey",46160
9700000US3403000,"Cherry Hill Township School District, New Jersey",53527
9700000US3403300,"Clifton City School District, New Jersey",54125
9700000US3404230,"East Orange City School District, New Jersey",44419
9700000US3404500,"Edison Township School District, New Jersey",55812
9700000US3404590,"Elizabeth City School District, New Jersey",60543
9700000US3405490,"Franklin Township School District, New Jersey",48664
9700000US3406540,"Hamilton Township School District, New Jersey",64434
9700000US3407830,"Jersey City School District, New Jersey",155099
9700000US3408220,"Lakewood Township School District, New Jersey",45239
9700000US3409270,"Old Bridge Township School District, New Jersey",49182
9700000US3410110,"Middletown Township School District, New Jersey",51889
9700000US3411340,"Newark City School District, New Jersey",160087
9700000US3412540,"Passaic City School District, New Jersey",31205
9700000US3412690,"Paterson City School District, New Jersey",76236
9700000US3416230,"Toms River Regional School District, New Jersey",84094
9700000US3416290,"Trenton City School District, New Jersey",47437
9700000US3416380,"Union City School District, New Jersey",37101
9700000US3418120,"Woodbridge Township School District, New Jersey",66095
9700000US3500010,"Rio Rancho Public Schools, New Mexico",75775
9700000US3500060,"Albuquerque Public Schools, New Mexico",502927
9700000US3501080,"Gadsden Independent Schools, New Mexico",40901
9700000US3501500,"Las Cruces Public Schools, New Mexico",109755
9700000US3502370,"Santa Fe Public Schools, New Mexico",94418
9700000US3602460,"Albany City School District, New York",74976
9700000US3605280,"Brentwood Union Free School District, New York",51041
9700000US3605850,"Buffalo City School District, New York",184368
9700000US3612630,"Greece Central School District, New York",67228
9700000US3615570,"Ithaca City School District, New York",54062
9700000US3616230,"Kenmore-Tonawanda Union Free School District, New York",56035
9700000US3619230,"Longwood Central School District, New York",51215
9700000US3620100,"Mount Vernon School District, New York",50049
9700000US3620490,"New Rochelle City School District, New York",54601
9700000US3620580,"New York City Department Of Education, New York",5457412
9700000US3620700,"Newburgh City School District, New York",44757
9700000US3624750,"Rochester City School District, New York",153987
9700000US3625350,"Sachem Central School District, New York",69066
9700000US3626010,"Schenectady City School District, New York",48725
