geoid,name,pop
0500000US26081,"Kent County, Michigan",472628
0500000US26087,"Lapeer County, Michigan",69354
0500000US26091,"Lenawee County, Michigan",76326
0500000US26093,"Livingston County, Michigan",149986
0500000US26099,"Macomb County, Michigan",662985
0500000US26103,"Marquette County, Michigan",54081
0500000US26111,"Midland County, Michigan",63744
0500000US26115,"Monroe County, Michigan",117832
0500000US26121,"Muskegon County, Michigan",132856
0500000US26125,"Oakland County, Michigan",930469
0500000US26139,"Ottawa County, Michigan",215273
0500000US26145,"Saginaw County, Michigan",148154
0500000US26147,"St. Clair County, Michigan",125107
0500000US26155,"Shiawassee County, Michigan",53669
0500000US26159,"Van Buren County, Michigan",55951
0500000US26161,"Washtenaw County, Michigan",276185
0500000US26163,"Wayne County, Michigan",1279313
0500000US27003,"Anoka County, Minnesota",262832
0500000US27013,"Blue Earth County, Minnesota",51388
0500000US27019,"Carver County, Minnesota",74818
0500000US27035,"Crow Wing County, Minnesota",50565
0500000US27037,"Dakota County, Minnesota",307701
0500000US27053,"Hennepin County, Minnesota",925232
0500000US27109,"Olmsted County, Minnesota",112588
0500000US27123,"Ramsey County, Minnesota",390610
0500000US27131,"Rice County, Minnesota",50633
0500000US27137,"St. Louis County, Minnesota",159563
0500000US27139,"Scott County, Minnesota",103877
0500000US27141,"Sherburne County, Minnesota",70796
0500000US27145,"Stearns County, Minnesota",120520
0500000US27163,"Washington County, Minnesota",194790
0500000US27171,"Wright County, Minnesota",98613
0500000US28033,"DeSoto County, Mississippi",135519
0500000US28035,"Forrest County, Mississippi",57089
0500000US28047,"Harrison County, Mississippi",155849
0500000US28049,"Hinds County, Mississippi",174129
0500000US28059,"Jackson County, Mississippi",108377
0500000US28067,"Jones County, Mississippi",49774
0500000US28075,"Lauderdale County, Mississippi",56447
0500000US28081,"Lee County, Mississippi",63095
0500000US28089,"Madison County, Mississippi",77668
0500000US28121,"Rankin County, Mississippi",117672
0500000US29019,"Boone County, Missouri",135423
